BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PACT;PDEN
MCO;2014;010000024;010780054;292;105485;14760;755;89260;78;26988;3925;123;19476;64;22220;4282;816;15305;434;154693;22967;1694;124041;29;2754;;;34091;15;4304;4;0;;;48;7058;;;34091;1;1;1;1;1;1;1;1;1;102;122;65;123;;8466;2231
MCO;2014;010000032;010780062;75;27375;3576;243;19769;20;7300;965;35;4957;12;4380;764;173;2254;107;39055;5305;451;26980;5;209;0;;681;5;1003;0;0;0;;10;1212;0;;681;1;0;1;1;1;1;1;1;0;160;14;6;;23082;3441;279
MCO;2014;010000065;010780096;59;21535;1941;10;19449;;;0;0;0;;;0;0;0;59;21535;1941;10;19449;;0;;;7;;0;;0;;;;0;;;7;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2014;010000099;010780120;9;3285;110;0;1154;;;0;0;0;;;0;0;0;9;3285;110;0;1154;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2014;010000107;010780138;15;5475;287;10;3515;;;0;0;0;;;0;0;0;15;5475;287;10;3515;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2014;010000115;010009132;12;4380;160;2;3205;;;0;0;0;;;0;0;0;12;4380;160;2;3205;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2014;010000131;010009132;8;2920;156;1;2810;;;0;0;0;;;0;0;0;8;2920;156;1;2810;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2014;010000214;010007987;11;4025;392;2;3834;;;0;0;0;;;0;0;0;11;4025;392;2;3834;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;1071;;
MCO;2014;010005239;010008407;68;24820;5075;472;22389;26;9490;1395;84;5208;21;7665;1027;187;3350;115;41975;7497;743;30947;7;747;;;251;7;1364;1;137;;;15;2248;;;251;1;0;1;1;1;1;0;0;1;80;140;30;54;;;
MCO;2014;010007300;010007292;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;0;2;2024;;0;;;2;2024;;;0;;;;;;;;;;;;;;;;
MCO;2014;010780195;010000156;61;16790;3759;1280;13911;94;30400;5764;93;22306;;;0;0;0;155;47190;9523;1373;36217;;0;;;3173;26;8534;;0;;;26;8534;;;3173;;;;;;;;;;;;;;;;
MCO;2014;010780203;010006450;28;7300;988;196;5503;38;13870;2634;354;9645;15;5475;963;42;3838;81;26645;4585;592;18986;2;1931;;;55;12;3691;;0;;;14;5622;;;55;;;;;;;;;;;;;;;;
MCO;2014;020000089;020000022;28;10220;1161;191;9222;;;0;0;0;;;0;0;0;28;10220;1161;191;9222;;0;;;0;;0;;0;;;;0;;;0;1;1;1;1;0;0;0;1;1;180;;;180;14189;3001;
MCO;2014;020000097;020000048;31;11315;615;3;10153;;;0;0;0;;;0;0;0;31;11315;615;3;10153;8;2201;;;0;;0;;0;;;8;2201;;;0;0;1;0;0;0;0;0;0;1;;;;22;1367;0;0
MCO;2014;020000105;020000055;15;5475;399;18;4356;;;0;0;0;;;0;0;0;15;5475;399;18;4356;;0;;;0;;0;;0;;;;0;;;0;1;0;1;0;0;0;0;1;1;;;;55;3611;0;0
MCO;2014;020000162;020000063;292;106580;15164;831;91697;124;42096;6217;258;26439;55;18137;2505;190;10002;471;166813;23886;1279;128138;51;3551;2;348;47986;30;4995;1;612;0;0;82;9158;2;348;47986;1;1;1;1;1;1;1;1;1;63;60;;;130754;30605;0
MCO;2014;020000246;020000071;36;13140;536;8;6983;;;0;0;0;;;0;0;0;36;13140;536;8;6983;;0;;;0;;0;;0;;;;0;;;0;0;0;1;0;0;1;0;1;1;;;;;;0;0
MCO;2014;020000360;020014742;;;0;0;0;29;9525;1619;8;5825;;;0;0;0;29;9525;1619;8;5825;;1191;;;32;20;3988;;0;;;20;5179;;;32;;;;;;;;;;;;;;;;
MCO;2014;020000394;020000253;156;54662;6964;515;47671;58;21170;3316;254;13407;20;7300;1787;192;6573;234;83132;12067;961;67651;14;1122;;;7837;13;1509;4;234;;;31;2865;;;7837;1;0;1;1;1;1;1;1;1;27;32;11;61;46669;29596;
MCO;2014;020000519;020000261;214;78110;9967;1238;55419;53;19345;4472;191;21710;50;16540;3122;793;9555;317;113995;17561;2222;86684;12;1;2;523;14785;10;2032;;0;;;22;2033;2;523;14785;1;0;1;1;1;1;1;1;1;;;;;114781;43035;748
MCO;2014;020000535;020000287;121;44581;5500;388;37943;25;9125;1171;101;4658;25;9125;1188;42;5525;171;62831;7859;531;48126;8;222;2;145;1484;29;3627;0;258;;;37;4107;2;145;1484;1;1;1;1;0;1;1;0;1;50;;100;130;29870;1746204;0
MCO;2014;020001061;020004404;150;54551;8039;1340;44703;32;11680;1347;0;6676;23;8395;1122;2;5160;205;74626;10508;1342;56539;3;684;2;151;68;10;1388;1;250;;;14;2322;2;151;68;1;0;1;1;1;1;1;1;0;15;23;35;;28202;30933;5475
MCO;2014;020001087;020004495;60;21900;2876;904;16207;;;0;0;0;1;14;14;14;0;61;21914;2890;918;16207;;0;;;2;;0;0;0;;;0;0;;;2;1;1;1;0;0;1;1;0;0;110;;44;;;170;0
MCO;2014;020010047;020001632;35;12775;1679;472;8695;68;22626;4157;4;15869;20;7300;1341;7;4981;123;42701;7177;483;29545;4;420;;;3020;40;7495;0;122;;;44;8037;;;3020;;;;;;;;;;;;;;;;
MCO;2014;030000061;030780092;253;90793;10105;128;76126;72;26280;4374;141;24055;29;10585;1455;6;6891;354;127658;15934;275;107072;11;652;;;18869;8;1772;2;258;;;21;2682;;;18869;1;0;1;1;1;1;1;1;1;;;70;;78556;4958;1800
MCO;2014;030000079;030780100;237;82455;12391;1367;76635;33;6559;1313;95;6816;33;11856;1994;94;7739;303;100870;15698;1556;91190;11;603;;;9526;4;548;3;459;;;18;1610;;;9526;1;1;1;1;1;1;1;1;1;;;;;70257;50530;504
MCO;2014;030000087;030780118;230;78340;13736;1469;70940;81;29212;4016;442;19824;24;10040;2006;352;6182;335;117592;19758;2263;96946;20;970;;;12875;21;4655;;0;;;41;5625;;;12875;1;0;1;1;1;1;1;1;1;90;;;75;92832;;
MCO;2014;030000095;030780126;10;3650;115;0;1857;;;0;0;0;;;0;0;0;10;3650;115;0;1857;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2014;030002208;030002158;10;2178;140;17;1973;;;0;0;0;;;0;0;0;10;2178;140;17;1973;0;0;0;0;0;;0;;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;208;0;0
MCO;2014;030780548;030000194;6;2190;323;6;2063;74;27010;2983;69;9632;;;0;0;0;80;29200;3306;75;11695;;0;;;0;16;4403;;0;;;16;4403;;;0;;;;;;;;;;;;;;;;
MCO;2014;030781116;030000426;70;25550;2945;182;29384;130;47450;5995;79;25744;;;0;0;0;200;73000;8940;261;55128;24;27;;;6355;24;7877;;0;;;48;7904;;;6355;;;;;;;;;;;;;;;;
MCO;2014;030785430;030785422;21;7665;742;2;4872;64;21376;2121;11;8192;0;;0;0;0;85;29041;2863;13;13064;3;0;0;0;2035;27;4835;0;0;;;30;4835;0;0;2035;;;;;;;;;;;;;;;;
MCO;2014;040000036;040780132;5;998;89;3;947;;;0;0;0;;;0;0;0;5;998;89;3;947;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2014;040000044;040780140;4;1460;47;3;407;;;0;0;0;;;0;0;0;4;1460;47;3;407;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2014;040000093;040780215;127;43061;7697;907;36772;41;14965;2178;148;10194;18;6570;1273;78;4912;186;64596;11148;1133;51878;10;34;;;4810;10;1440;1;470;;;21;1944;;;4810;1;0;0;1;0;1;0;1;1;;;90;180;42560;20802;446
MCO;2014;040000119;040780231;4;1460;218;2;996;0;0;0;0;0;0;0;0;0;0;4;1460;218;2;996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MCO;2014;040000127;040780249;4;1460;40;0;502;;;0;0;0;;;0;0;0;4;1460;40;0;502;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2014;040000135;050002948;42;15099;2117;229;12625;0;0;0;0;0;0;0;0;0;0;42;15099;2117;229;12625;3;354;0;78;177;;0;;0;;;3;354;0;78;177;1;1;1;1;1;1;1;1;1;;;;;31848;649;0
