BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PDEN;PACT
MCO;2015;010000024;010780054;302;108465;15178;955;89608;78;27014;3889;117;19265;51;19359;3913;807;13533;431;154838;22980;1879;122406;14;2880;;;34957;15;4845;4;0;;;33;7725;;;34957;1;1;1;1;1;1;1;1;1;102;122;;123;152369;1330;12747
MCO;2015;010000032;010780062;75;27375;3711;227;20063;20;6620;922;37;4604;12;4380;745;146;2385;107;38375;5378;410;27052;5;69;0;0;769;5;1072;0;0;0;0;10;1141;0;0;769;1;0;1;1;1;1;1;1;0;150;43;28;;34683;;27867
MCO;2015;010000065;010780096;59;21535;2103;13;19599;;;0;0;0;;;0;0;0;59;21535;2103;13;19599;;0;;;1;;0;;0;;;;0;;;1;0;0;0;0;0;0;1;0;0;;;;;;;
MCO;2015;010000099;010780120;9;3285;108;2;1232;0;0;0;0;0;0;0;0;0;0;9;3285;108;2;1232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MCO;2015;010000107;010780138;15;5475;302;3;3546;;;0;0;0;;;0;0;0;15;5475;302;3;3546;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;010000115;010009132;12;4380;163;1;2957;;;0;0;0;;;0;0;0;12;4380;163;1;2957;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;010000131;010009132;8;2920;162;1;2756;0;0;0;0;0;0;0;0;0;0;8;2920;162;1;2756;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;010000214;010007987;11;4015;447;1;4750;;;0;0;0;;;0;0;0;11;4015;447;1;4750;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;010005239;010008407;68;24820;5075;370;22192;26;9490;1312;67;5193;21;7665;992;194;3040;115;41975;7379;631;30425;7;833;;;174;7;1599;1;136;;;15;2568;;;174;1;0;1;1;1;1;0;1;1;;;;;;;
MCO;2015;010007300;010007292;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;0;2;1913;;0;;;2;1913;;;0;;;;;;;;;;;;;;;;
MCO;2015;010780195;010000156;66;24090;3922;1447;14433;73;26645;5690;114;20304;;;0;0;0;139;50735;9612;1561;34737;;0;;;2992;31;8260;;0;;;31;8260;;;2992;;;;;;;;;;;;;;;;
MCO;2015;010780203;010010718;26;9490;3065;379;9727;42;15330;2338;265;8649;15;5475;905;45;3622;83;30295;6308;689;21998;2;40;;;131;20;3868;;0;;;22;3908;;;131;;;;;;;;;;;;;;;;
MCO;2015;020000089;020000022;28;10220;1071;206;9110;;;0;0;0;;;0;0;0;28;10220;1071;206;9110;;0;;;0;;0;;0;;;;0;;;0;1;1;1;1;0;0;0;1;1;210;;;150;13954;0;2823
MCO;2015;020000097;020000048;35;12417;650;6;10192;;;0;0;0;;;0;0;0;35;12417;650;6;10192;8;1923;;;0;;0;;0;;;8;1923;;;0;0;1;0;0;0;0;0;0;1;;;;22;1344;0;0
MCO;2015;020000105;020000055;15;4379;416;7;4312;;;0;0;0;;;0;0;0;15;4379;416;7;4312;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;0;1;1;;;;65;1771;0;0
MCO;2015;020000162;020000063;290;106180;15139;884;92643;98;38940;6133;243;24039;38;13870;2411;184;9565;426;158990;23683;1311;126247;28;3523;2;334;46607;30;5476;1;430;0;0;59;9429;2;334;46607;1;1;1;1;1;1;1;1;1;;60;34;306;172290;239;53872
MCO;2015;020000246;020000071;36;13140;580;5;7308;;;0;0;0;;;0;0;0;36;13140;580;5;7308;;0;;;0;;0;;0;;;;0;;;0;0;0;1;0;0;0;0;1;1;8;;;15;1945;0;205
MCO;2015;020000360;020014742;;;0;0;0;29;10585;1685;25;5538;;;0;0;0;29;10585;1685;25;5538;;1493;;;6;20;4152;;0;;;20;5645;;;6;;;;;;;;;;;;;;;;
MCO;2015;020000394;020000253;149;55776;6960;430;46404;51;19906;2913;156;12564;20;7300;1681;202;6132;220;82982;11554;788;65100;18;932;;;7874;13;1389;4;260;;;35;2581;;;7874;1;;1;1;1;1;1;1;1;35;7;6;61;86204;204;66739
MCO;2015;020000519;020000261;213;77380;10744;1316;57173;53;19345;4403;172;22065;50;18189;3000;807;8820;316;114914;18147;2295;88058;8;1;2;514;14494;11;1771;;0;;;19;1772;2;514;14494;1;0;1;1;1;1;1;1;1;90;20;30;90;174478;389;88662
MCO;2015;020000535;020000287;120;43800;5316;270;38571;18;6570;1101;59;4406;25;9125;1067;69;4480;163;59495;7484;398;47457;8;241;2;187;1418;21;3805;0;280;;;29;4326;2;187;1418;1;1;1;1;0;1;1;0;1;195;;40;195;61451;;30543
MCO;2015;020001061;020004404;142;51680;6988;833;42983;29;9893;1151;5;5419;23;8395;1155;2;5336;194;69968;9294;840;53738;0;235;2;103;84;10;2151;1;216;0;0;11;2602;2;103;84;0;0;1;0;1;1;0;0;0;8;20;18;;38245;986;54571
MCO;2015;020001087;020004495;60;16373;3083;1013;17094;;;0;0;0;0;0;0;0;0;60;16373;3083;1013;17094;;0;;;0;;0;;0;;;;0;;;0;1;1;1;0;0;1;1;0;0;185;;60;;26074;10885;0
MCO;2015;020010047;020001632;35;12775;1775;681;8835;68;22626;3937;0;13852;20;7300;1220;9;4482;123;42701;6932;690;27169;4;408;;;2212;40;7683;0;124;;;44;8215;;;2212;;;;;;;;;;;;;;;;
MCO;2015;030000061;030780092;241;86117;10152;240;73616;72;26280;4314;252;22813;29;10585;1396;4;6201;342;122982;15862;496;102630;11;608;;;20191;8;1817;2;360;;;21;2785;;;20191;1;0;1;1;1;1;1;1;1;;;90;;106102;1594;87491
MCO;2015;030000079;030780100;249;86812;13798;1859;81791;33;11999;1862;133;8920;33;11838;1900;81;7090;315;110649;17560;2073;97801;11;897;0;0;9806;4;688;3;500;0;0;18;2085;0;0;9806;1;1;1;1;1;1;1;1;1;150;80;68;;106700;68;25423
MCO;2015;030000087;030780118;239;84118;14790;1650;75899;78;28452;3785;215;20690;27;9855;2229;324;6598;344;122425;20804;2189;103187;8;915;;;13361;21;5490;;0;;;29;6405;;;13361;1;0;1;1;1;1;1;1;1;120;100;40;120;96234;;5973
MCO;2015;030000095;030780126;8;2920;106;0;2107;;;0;0;0;;;0;0;0;8;2920;106;0;2107;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;030002208;030002158;10;3650;170;8;3169;;;0;0;0;;;0;0;0;10;3650;170;8;3169;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;030780548;030000194;10;3650;288;5;2123;57;20805;2489;83;7529;;;0;0;0;67;24455;2777;88;9652;;0;;;71;26;4455;;0;;;26;4455;;;71;;;;;;;;;;;;;;;;
MCO;2015;030781116;030000426;90;32850;2891;167;28054;83;30295;5554;75;23172;;;0;0;0;173;63145;8445;242;51226;24;20;;;6122;36;7988;;0;;;60;8008;;;6122;;;;;;;;;;;;;;;;
MCO;2015;030785430;030785422;21;7665;1007;6;4960;64;21376;2177;11;7900;0;0;0;0;0;85;29041;3184;17;12860;3;89;;;1782;27;5014;0;0;;;30;5103;;;1782;;;;;;;;;;;;;;;;
MCO;2015;040000036;040780132;5;1825;126;5;1341;;;0;0;0;;;0;0;0;5;1825;126;5;1341;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;040000044;040780140;4;1460;64;4;573;;;0;0;0;;;0;0;0;4;1460;64;4;573;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;040000093;040780215;127;45195;7330;678;38957;41;14965;2117;138;9974;18;6570;1142;51;4447;186;66730;10589;867;53378;10;31;;;4732;10;1559;1;398;;;21;1988;;;4732;0;0;1;1;0;1;0;1;1;;;21;240;38513;2;57109
MCO;2015;040000119;040780231;4;1456;248;6;1123;;;0;0;0;;;0;0;0;4;1456;248;6;1123;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;040000127;040780249;4;1460;63;0;772;0;;0;0;0;;;0;0;0;4;1460;63;0;772;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;040000135;050002948;34;11885;1952;253;10614;0;0;0;0;0;0;0;0;0;0;34;11885;1952;253;10614;3;9;0;;91;0;0;0;0;0;;3;9;0;;91;1;1;1;1;1;1;1;1;1;;;;;11331;0;5886
MCO;2015;040000911;040788879;117;41505;5278;764;38967;30;10388;1401;49;6798;17;6205;1017;307;2885;164;58098;7696;1120;48650;15;636;;;1556;16;2423;1;208;;;32;3267;;;1556;1;1;1;1;1;1;1;1;1;;;;;60169;2378;41288
MCO;2015;040780470;040000192;;;0;0;0;47;17155;770;4;3168;;;0;0;0;47;17155;770;4;3168;;0;;;0;20;4937;;0;;;20;4937;;;0;;;;;;;;;;;;;;;;
MCO;2015;050000090;050006931;25;9125;655;0;2925;50;18250;2912;0;8078;;;0;0;0;75;27375;3567;0;11003;11;42;;;411;14;8156;;0;;;25;8198;;;411;;;;;;;;;;;;;;;;
MCO;2015;050000223;050000108;4;1460;41;0;1273;;;0;0;0;;;0;0;0;4;1460;41;0;1273;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;050000231;050000116;42;15330;2798;620;12140;22;8030;2297;109;8139;9;3285;660;161;2012;73;26645;5755;890;22291;5;182;0;0;3941;5;1343;;0;;;10;1525;0;0;3941;1;0;1;1;1;1;1;0;1;;;;;37686;47;19080
MCO;2015;050000256;050000124;27;9855;1120;108;8151;0;;0;0;0;0;;0;0;0;27;9855;1120;108;8151;0;0;;;3;0;0;0;0;;;0;0;;;3;1;0;0;0;1;1;0;0;0;;;;;2324;0;6088
MCO;2015;050000330;050007145;5;1825;53;0;1219;;;0;0;0;;;0;0;0;5;1825;53;0;1219;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;050000348;050002948;175;63681;9730;1033;55845;67;24137;4336;169;17039;22;8030;2127;95;8387;264;95848;16193;1297;81271;8;323;2;223;12494;14;2604;3;129;0;0;25;3056;2;223;12494;1;1;1;1;1;1;1;1;1;;;;;126788;140;31429
MCO;2015;060000163;060780327;4;465;56;2;444;;;0;0;0;;;0;0;0;4;465;56;2;444;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;060000304;060780657;5;1825;112;0;1141;;;0;0;0;;;0;0;0;5;1825;112;0;1141;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;060000411;060780780;6;2190;82;4;1282;;;0;0;0;;;0;0;0;6;2190;82;4;1282;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;060000478;060780897;163;59495;8446;409;48673;75;27375;3338;78;14255;32;11680;3765;81;15434;270;98550;15549;568;78362;26;563;;;2453;9;2196;2;388;;;37;3147;;;2453;1;1;1;1;1;1;1;1;1;;;;;83102;2074;24396
MCO;2015;060000486;060780905;12;4380;234;11;3250;;;0;0;0;;;0;0;0;12;4380;234;11;3250;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;060000494;060780921;5;1825;67;0;994;;;0;0;0;;;0;0;0;5;1825;67;0;994;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;060000510;060780954;230;81013;11332;804;72703;72;26280;3897;196;20655;22;7728;1595;141;5227;324;115021;16824;1141;98585;22;806;;;2603;9;2245;3;324;;;34;3375;;;2603;1;1;1;1;1;1;1;1;1;120;;40;40;84173;0;22173
MCO;2015;060000536;060006889;8;2920;114;2;1868;;;0;0;0;;;0;0;0;8;2920;114;2;1868;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;060000544;060780988;232;84680;15130;2596;75350;91;33215;4847;167;24629;34;12410;2763;115;11654;357;130305;22740;2878;111633;27;3051;;;12307;17;2196;4;692;;;48;5939;;;12307;1;1;1;1;0;1;1;1;1;66;;6;;207300;1795;91576
MCO;2015;060001450;060785011;0;15620;3120;900;10250;0;22011;4270;415;14750;0;;0;0;0;0;37631;7390;1315;25000;;0;;;1;5;1175;;0;;;5;1175;;;1;0;0;0;0;0;0;0;0;0;;;;;67479;25638;18608
MCO;2015;060002102;060791761;53;18765;2730;510;19393;42;9407;1804;187;9003;0;0;0;0;0;95;28172;4534;697;28396;0;0;;;3;9;1910;0;159;;;9;2069;;;3;1;1;0;1;0;0;1;1;0;;;;;;;
MCO;2015;060021417;060000221;20;7300;661;12;6480;57;20440;3575;39;9804;;;1;0;1;77;27740;4237;51;16285;;0;;;131;44;11477;1;88;;;45;11565;;;131;;;;;;;;;;;;;;;;
MCO;2015;060022845;060790797;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;5991;;0;;0;;;;0;;;5991;;;;;;;;;;;;;;;;
MCO;2015;060780442;060000213;;;0;0;0;30;10950;1634;5;1961;;;0;0;0;30;10950;1634;5;1961;;0;;;18;10;3728;;0;;;10;3728;;;18;;;;;;;;;;;;;;;;
MCO;2015;060780491;060790797;56;20440;2878;13;19273;72;26280;4130;131;18340;;;0;0;0;128;46720;7008;144;37613;10;4931;;;0;23;4336;;0;;;33;9267;;;0;;;;;;;;;;;;;;;;
MCO;2015;060780517;060000239;38;13870;3078;653;15499;80;29200;17594;13183;17087;34;12410;1767;29;6596;152;55480;22439;13865;39182;9;4;1;75;6851;21;131;34;280;;;64;415;1;75;6851;;;;;;;;;;;;;;;;
MCO;2015;060780590;060000270;;;0;0;0;54;19710;2372;76;7436;;;0;0;0;54;19710;2372;76;7436;0;0;;;48;10;5510;0;30;;;10;5540;;;48;;;;;;;;;;;;;;;;
MCO;2015;060780665;060000312;20;7300;698;12;4943;30;10950;716;6;2620;;;0;0;0;50;18250;1414;18;7563;;0;;;2;13;3119;;0;;;13;3119;;;2;;;;;;;;;;;;;;;;
MCO;2015;060780699;060000346;;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;;0;13;1920;3;94;;;16;2014;;;0;;;;;;;;;;;;;;;;
MCO;2015;060780715;060000361;66;24090;6690;27;30942;171;59175;7858;116;30839;34;12410;1719;31;6969;271;95675;16267;174;68750;;0;;;8369;50;17109;;0;;;50;17109;;;8369;;;;;;;;;;;;;;;;
MCO;2015;060780723;060004959;16;5840;2630;5;9620;71;25915;2947;6;9634;;;0;0;0;87;31755;5577;11;19254;0;2;;;4450;31;9541;;0;;;31;9543;;;4450;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;060780756;060000403;0;;33;0;413;40;14600;2068;30;5420;53;19345;2690;75;11707;93;33945;4791;105;17540;;0;;;12;5;6081;0;175;;;5;6256;;;12;;;;;;;;;;;;;;;;
MCO;2015;060780947;060800174;70;28115;6603;1146;19036;30;11568;2749;351;6060;;;0;0;0;100;39683;9352;1497;25096;7;1319;;;320;14;2363;;0;;;21;3682;;;320;1;1;1;1;1;1;1;1;1;;;;;88506;4075;17118
MCO;2015;060781200;060000635;36;13140;2717;13;17025;61;22265;2009;3;7750;0;;79;79;0;97;35405;4805;95;24775;;0;;;121;19;7003;;0;;;19;7003;;;121;;;;;;;;;;;;;;;;
MCO;2015;060785003;060785011;354;88447;13787;2009;65117;254;56597;10541;1016;39309;;;0;0;0;608;145044;24328;3025;104426;38;4274;;;25339;30;2959;;0;;;68;7233;;;25339;0;0;0;0;1;0;0;0;0;;180;;;215588;;52313
MCO;2015;060785219;060001468;124;45260;4793;42;35076;;;0;0;0;;;0;0;0;124;45260;4793;42;35076;20;12;;;8011;;0;;0;;;20;12;;;8011;;;;;;;;;;;;;;;;
MCO;2015;060788957;060785011;50;18241;2209;13;18217;;;0;0;0;;;0;0;0;50;18241;2209;13;18217;4;2684;;;5;;0;;0;;;4;2684;;;5;0;0;0;0;0;0;0;0;0;;;;;14161;588;568
MCO;2015;060789195;060785011;332;121988;13794;114;111953;84;37723;6894;189;34810;65;23007;4717;272;21202;481;182718;25405;575;167965;49;7892;1;188;15944;6;925;11;1680;;;66;10497;1;188;15944;;;;;;;;;;89;;;;204725;235;72250
MCO;2015;060791811;060010808;91;33215;2494;17;29270;;;0;0;0;;;0;0;0;91;33215;2494;17;29270;4;966;;;118;;0;;0;;;4;966;;;118;1;1;1;1;1;0;1;0;1;;;;;1698;0;781
MCO;2015;060791860;060790797;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;25464;;0;;0;;;;0;;;25464;;;;;;;;;;;;;;;;
MCO;2015;060792850;060790797;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;99;;0;;0;;;;0;;;99;;;;;;;;;;;;;;;;
MCO;2015;060792900;060790797;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;2812;;0;;0;;;;0;;;2812;;;;;;;;;;;;;;;;
MCO;2015;060792926;060022951;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;10773;;0;;0;;;;0;;;10773;;;;;;;;;;;;;;;;
MCO;2015;060794013;060790797;44;16060;2196;11;14458;24;8760;2569;782;5302;;;0;0;0;68;24820;4765;793;19760;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;0;0;0;;;;;10942;;
MCO;2015;060800166;060780608;15;5475;568;0;4364;97;35405;3859;15;15630;;;0;0;0;112;40880;4427;15;19994;;0;;;119;25;11113;;0;;;25;11113;;;119;;;;;;;;;;;;;;;;
MCO;2015;070000013;070002878;73;26645;2565;217;22175;34;12410;1347;36;7091;9;3285;386;120;1015;116;42340;4298;373;30281;8;501;;;927;6;711;0;0;;;14;1212;;;927;1;0;1;1;1;0;1;1;1;60;20;;180;27676;0;34676
MCO;2015;070000021;070780101;15;5475;270;0;3608;;;0;0;0;;;0;0;0;15;5475;270;0;3608;0;7;;;0;;0;;0;;;0;7;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;070000039;070780119;16;5840;180;2;2426;;;0;0;0;;;0;0;0;16;5840;180;2;2426;0;0;;;0;0;0;0;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;070000047;070780127;7;2695;185;0;2694;;;0;0;0;;;0;0;0;7;2695;185;0;2694;0;3;;;0;;0;;0;;;0;3;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;070000062;070005558;8;2920;120;1;2368;;;0;0;0;;;0;0;0;8;2920;120;1;2368;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;070000070;070780150;20;4948;412;40;4605;;;0;0;0;;;0;0;0;20;4948;412;40;4605;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;070000096;070780184;8;2920;489;280;2358;;;0;0;0;;;0;0;0;8;2920;489;280;2358;6;0;;;18;;0;;0;;;6;0;;;18;1;1;1;1;1;0;0;0;0;;30;;;805;;1542
MCO;2015;070000112;070780218;15;5475;246;0;3612;;;0;0;0;;;0;0;0;15;5475;246;0;3612;0;0;;;0;0;0;;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;070000146;070004742;8;2920;156;0;1556;;;0;0;0;;;0;0;0;8;2920;156;0;1556;1;1;;;0;;0;;0;;;1;1;;;0;;;;;;;;;;;;;;;;
MCO;2015;070000179;070780358;142;51830;8520;948;47895;42;15330;2404;303;12360;24;8760;1201;113;4237;208;75920;12125;1364;64492;10;692;;;14315;10;2626;1;98;;;21;3416;;;14315;1;0;0;1;1;1;1;0;1;;;;;79718;;87644
MCO;2015;070000187;070780366;12;4380;374;19;3354;;;0;0;0;;;0;0;0;12;4380;374;19;3354;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0
MCO;2015;070000195;070780374;30;8859;1065;9;11061;;;0;0;0;8;1909;452;1;1915;38;10768;1517;10;12976;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;070000203;070780382;11;4015;176;2;2336;;;0;0;0;;;0;0;0;11;4015;176;2;2336;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;070000484;070005566;10;3650;821;2;3967;;;0;0;0;;;0;0;0;10;3650;821;2;3967;;0;;;0;;0;;0;;;;0;;;0;0;0;1;0;0;0;0;0;0;;;;;;;
MCO;2015;070000609;070005566;139;50735;6527;621;39499;34;12410;2292;141;10031;17;6205;1052;60;3814;190;69350;9871;822;53344;10;480;;;3120;9;1758;1;268;;;20;2506;;;3120;1;1;0;1;1;1;1;1;1;;;;;;;
