BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM
MCO;2017;010000024;010780054;277;103867;15561;943;87982;73;25163;3835;123;18273;43;15695;3909;887;12813;393;144725;23305;1953;119068;14;2480;;;38362;20;5026;4;0;;;38;7506;;;38362;1;1;1;1;1;1;1;1;1;;;;;96321;6685;64007;589;9580;6070
MCO;2017;010000032;010780062;66;24090;3805;228;20111;17;6205;1065;28;5185;10;3650;559;57;1895;93;33945;5429;313;27191;4;81;;;921;5;1222;0;97;;;9;1400;;;921;1;0;1;1;1;1;1;1;0;123;51;31;;17837;1404;18113;0;1460;2101
MCO;2017;010000065;010780096;59;21535;2288;17;19725;;;0;0;0;;;0;0;0;59;21535;2288;17;19725;;0;;;2;;0;;0;;;;0;;;2;0;0;1;0;0;0;1;0;0;;;;;;;;;;
MCO;2017;010000099;010780120;9;3285;143;0;1990;;;0;0;0;;;0;0;0;9;3285;143;0;1990;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;010000107;010780138;15;5475;245;2;2790;;;0;0;0;;;0;0;0;15;5475;245;2;2790;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;010000115;010009132;12;4380;148;0;2813;;;0;0;0;;;0;0;0;12;4380;148;0;2813;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;010000131;010009132;8;2920;165;2;2668;;;0;0;0;;;0;0;0;8;2920;165;2;2668;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;010000180;010007987;10;3650;353;0;3013;;;0;0;0;;;0;0;0;10;3650;353;0;3013;0;0;;;0;;0;;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;010000214;010007987;20;7300;262;1;4311;;;0;0;0;;;0;0;0;20;7300;262;1;4311;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;1;0;0;;;;;960;;;;;2817
MCO;2017;010005239;010008407;68;24418;4683;364;21885;26;8335;1306;62;5604;21;7665;817;146;2566;115;40418;6806;572;30055;7;818;;;255;7;1492;1;143;;;15;2453;;;255;1;0;1;1;1;1;0;0;1;48;89;22;23;24128;4782;31878;0;4312;7747
MCO;2017;010007300;010007292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2283;0;0;;;2;2283;0;0;0;;;;;;;;;;;;;;;;;;;
MCO;2017;010780195;010000156;66;24090;3997;1334;14335;69;25185;5918;173;18781;;;0;0;0;135;49275;9915;1507;33116;;0;;;3196;31;9443;;0;;;31;9443;;;3196;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;010780203;010010718;26;9490;3381;579;11694;46;16790;1825;134;6009;15;5475;799;17;3339;87;31755;6005;730;21042;3;821;;;194;21;4753;;0;;;24;5574;;;194;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;010780294;690000278;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;1;;;8532;;0;;0;;;;1;;;8532;;;;;;;;;;;;;;;;;;;
